model,bf,model_label,baseline,bf_over_null_log,bf_over_null_raw,bf_best_over_rest
a,24.015096922738454,BR & ML & PO,-3.422172714628945,27.4372696373674,823862626353.9275,1
f,18.092277547701705,ML & PO,-3.422172714628945,21.51445026233065,2206007731.0573096,373.4631636848622
g,17.965996356998968,BR & ML,-3.422172714628945,21.388169071627914,1944302371.1955698,423.731739753692
c,12.454564481092792,ML,-3.422172714628945,15.876737195721738,7855599.878226675,104875.838780616
e,6.160367093988904,BR & PO,-3.422172714628945,9.582539808617849,14509.223195146005,56781994.13387941
b,1.3255727435623228,PO,-3.422172714628945,4.747745458191268,115.3239884597283,7143896403.146205
d,1.1813877157311403,BR,-3.422172714628945,4.603560430360085,99.83915393336343,8251899118.694512
UN,-3.422172714628945,BR & ML & PO (no effect in all manipulations),-3.422172714628945,0,1,823862626353.9275
