model,bf,model_label,baseline,bf_over_null_log,bf_over_null_raw,bf_best_over_rest
AD,18.041300402947975,ml+ & br- & po-,7.442450265622416,10.59885013732556,40088.71440202587,1
ID,17.563984682627336,ml= & br- & po-,7.442450265622416,10.12153441700492,24872.90698064071,1.6117422235056023
AH,15.50336690651837,ml- & br- & po-,7.442450265622416,8.060916640895954,3168.192898935019,12.65349544072951
IB,14.87753663640794,ml= & br+ & po-,7.442450265622416,7.435086370785525,1694.4040596828595,23.65947730881219
HB,14.144863944073409,ml+ & br= & po-,7.442450265622416,6.702413678450993,814.3690799809953,49.22671475071403
JB,13.745798318610014,ml= & br= & po-,7.442450265622416,6.303348052987598,546.3982213239232,73.3690426460227
HD,11.66548018021713,ml- & br= & po-,7.442450265622416,4.223029914594715,68.23993253873986,587.4670872405608
AB,11.65321930480831,ml+ & br+ & po-,7.442450265622416,4.2107690391858945,67.40835955180887,594.7142857142874
GB,10.924306295099644,ml+ & br- & po=,7.442450265622416,3.4818560294772283,32.52002422082757,1232.739377123554
KB,10.640898545196636,ml= & br- & po=,7.442450265622416,3.1984482795742206,24.49449208879372,1636.6419951351652
AF,10.400456336312942,ml- & br+ & po-,7.442450265622416,2.9580060706905265,19.25953130051682,2081.500000000006
IC,9.218054420648318,ml= & br- & po+,7.442450265622416,1.7756041550259027,5.903846897849678,6790.269987629106
GD,8.522761827155724,ml- & br- & po=,7.442450265622416,1.0803115615333088,2.9455971428772902,13609.707117948517
EA,7.593754505261899,ml+ & br= & po=,7.442450265622416,0.15130423963948303,1.1633505415957617,34459.70321811721
UN,7.442450265622416,BR & ML & PO (no effect in all manipulations),7.442450265622416,0,1,40088.71440202587
JA,5.333965642851603,ml= & br= & po+,7.442450265622416,-2.1084846227708125,0.12142182696087188,330160.691907102
EB,5.325152679980352,ml- & br= & po=,7.442450265622416,-2.1172975856420635,0.12035644240093442,333083.2450869671
GA,4.7984079848481285,ml+ & br+ & po=,7.442450265622416,-2.644042280774287,0.07107338950642257,564046.7505549772
KA,4.533652965102944,ml= & br+ & po=,7.442450265622416,-2.9087973005194714,0.054541287216196235,735015.9200152024
GC,2.6011834075119085,ml- & br+ & po=,7.442450265622416,-4.841266858110507,0.00789704327849139,5076420.754994799
AA,-Inf,ml+ & br+ & po+,7.442450265622416,-Inf,0,Inf
AC,-Inf,ml+ & br- & po+,7.442450265622416,-Inf,0,Inf
AE,-Inf,ml- & br+ & po+,7.442450265622416,-Inf,0,Inf
AG,-Inf,ml- & br- & po+,7.442450265622416,-Inf,0,Inf
HA,-Inf,ml+ & br= & po+,7.442450265622416,-Inf,0,Inf
HC,-Inf,ml- & br= & po+,7.442450265622416,-Inf,0,Inf
IA,-Inf,ml= & br+ & po+,7.442450265622416,-Inf,0,Inf
