model,bf,model_label,baseline,bf_over_null_log,bf_over_null_raw,bf_best_over_rest
c,63.06830366107856,ML,21.297812350739484,41.770491310339075,1382591499686886e3,1
f,61.482520282970334,ML & PO,21.297812350739484,40.18470793223085,283137186268839800,4.883115206118175
g,61.322811567932106,BR & ML,21.297812350739484,40.02499921719262,241343884310826850,5.728719845688097
a,59.73342280273258,BR&ML&PO,21.297812350739484,38.4356104519931,49246291095779110,28.075038118056113
UN,21.297812350739484,BR & ML & PO (no effect in all manipulations),21.297812350739484,0,1,1382591499686886e3
b,19.64110507384999,PO,21.297812350739484,-1.6567072768894953,0.19076608699359443,7247574878093038e3
d,19.49081297945694,BR,21.297812350739484,-1.8069993712825436,0.16414593959510926,84229406045453e5
e,17.778571105902003,BR & PO,21.297812350739484,-3.519241244837481,0.029621902414625124,4667463555629916e4
