model,bf,model_label,baseline,bf_over_null_log,bf_over_null_raw,bf_best_over_rest
a,107.82606963196147,BR & ML & PO,-12.106950667857792,119.93302029981926,12196884583528627e36,1
e,93.21140869830847,BR & PO,-12.106950667857792,105.31835936616626,54850717865427276e29,2223650.8578525633
f,58.776973100141035,ML & PO,-12.106950667857792,70.88392376799882,6088312673207804e15,20033275618714808e5
b,48.26615074628795,PO,-12.106950667857792,60.37310141414574,16584592294224528e10,7354346954779292e10
g,27.086061358997664,BR & ML,-12.106950667857792,39.193012026855456,105028908566479340,11612883300418625e19
d,18.396063967938797,BR,-12.106950667857792,30.50301463579659,17672213015157.785,690173017554006e24
c,-5.132853346509546,ML,-12.106950667857792,6.974097321348245,1068.5921584545115,11413975375945856e33
UN,-12.106950667857792,BR & ML & PO (no effect in all manipulations),-12.106950667857792,0,1,12196884583528627e36
